# z, m_eff, m_err
2.848799999999999943e-02 1.602558339279999799e+01 2.259067657944419938e-01
5.004299999999999721e-02 1.736136791539999891e+01 1.695047659028525167e-01
5.292600000000000082e-02 1.749669125449999640e+01 1.586187409960905792e-01
7.008599999999999552e-02 1.812573654239999499e+01 1.612816459135779090e-01
6.266800000000000148e-02 1.816240935049999550e+01 1.589560742023887752e-01
8.758900000000000019e-02 1.890805704939999643e+01 1.901274311752638446e-01
7.857699999999999407e-02 1.816716226069999962e+01 1.585006544974989495e-01
1.722699999999999926e-02 1.533336995029999983e+01 2.015820209109359107e-01
4.223299999999999971e-02 1.701545954829999729e+01 1.698445184032367217e-01
4.529500000000000193e-02 1.731927217560000187e+01 1.676866494510917960e-01
3.647999999999999854e-02 1.658432196520000090e+01 1.727990583764795196e-01
1.959899999999999837e-02 1.526421743119999874e+01 1.871118559297397788e-01
2.734200000000000172e-02 1.576476569299999753e+01 1.780563212436299669e-01
7.460500000000000465e-02 1.826711575650000086e+01 1.625630005943845269e-01
2.648899999999999866e-02 1.615968519929999658e+01 1.936501602195839222e-01
4.992200000000000110e-02 1.724597347059999564e+01 1.650531122563696218e-01
3.060399999999999926e-02 1.622923775939999658e+01 1.758729966776396147e-01
1.634564100000000103e-02 1.472302777519999850e+01 1.460277574677203982e-01
1.543630000000000002e-02 1.461994839709999994e+01 1.516902707625358837e-01
3.052900000000000058e-02 1.627824571860000091e+01 9.368393837146264669e-02
2.452500000000000166e-02 1.573717066489999539e+01 1.067410285337394710e-01
2.395299999999999860e-02 1.564771037750000104e+01 1.111657226708794299e-01
2.603799999999999865e-02 1.604626206819999723e+01 1.125708883261840459e-01
4.894799999999999846e-02 1.741059739870000200e+01 1.751361776725144370e-01
2.431399999999999881e-02 1.578849506450000106e+01 1.841231622115570010e-01
1.516600000000000066e-02 1.478066661520000125e+01 2.173199802106239586e-01
3.572000000000000175e-02 1.663954064070000172e+01 1.737958130750563435e-01
4.881800000000000028e-02 1.706101077610000161e+01 1.630823545963809296e-01
2.198000591460000028e-02 1.553197335740000185e+01 1.899290357952088948e-01
3.599999999999999728e-02 1.650001709569999875e+01 1.705445895167707893e-01
1.632099999999999870e-02 1.469642111410000140e+01 2.071489359607882608e-01
1.672999999999999834e-02 1.490533716919999918e+01 2.116020985446409042e-01
2.750000000000000014e-02 1.632870590819999634e+01 1.788980254537541892e-01
2.179299999999999987e-02 1.565278687119999645e+01 2.343772933449299600e-01
1.644999999999999934e-02 1.486029628580000050e+01 2.526837627238408546e-01
2.320799999999999946e-02 1.576454271740000124e+01 2.334155253054985557e-01
3.645700000000000329e-02 1.681323312559999650e+01 2.196866005953526102e-01
1.926399999999999987e-02 1.563161373189999992e+01 2.424966677295300466e-01
1.760499999999999912e-02 1.502279569570000106e+01 2.733021639698055560e-01
3.152800000000000047e-02 1.640776877640000109e+01 2.273505033608079484e-01
2.353600000000000136e-02 1.584859908879999679e+01 2.366077890685062135e-01
1.674300000000000094e-02 1.468172780259999755e+01 2.501902687607309161e-01
5.371000000000000080e-02 1.715543849490000028e+01 2.237208205081160639e-01
1.699099999999999916e-02 1.505777180729999642e+01 3.113385535793498082e-01
2.786500000000000088e-02 1.577237832829999675e+01 2.244404393522739238e-01
1.717300000000000076e-02 1.493967145729999757e+01 2.500223736090147475e-01
2.995499999999999899e-02 1.665125782750000027e+01 2.263652955346063811e-01
1.655900000000000080e-02 1.502283380709999605e+01 2.529627141368591681e-01
1.499999999999999944e-02 1.484250388610000115e+01 1.642163965255356850e-01
5.439999999999999697e-02 1.763343541049999530e+01 9.117241757803677682e-02
3.930000000000000160e-02 1.701339501489999506e+01 1.035418501171902345e-01
7.839999999999999747e-02 1.836124045339999711e+01 9.223215822312492984e-02
5.829999999999999766e-02 1.771163016710000093e+01 2.084269983931855696e-01
3.090000000000000038e-02 1.660847288009999900e+01 1.861229635515962155e-01
4.059999999999999720e-02 1.704463512570000105e+01 1.749093117391184171e-01
1.519999999999999997e-02 1.469590429890000038e+01 2.171534813835126476e-01
2.239999999999999977e-02 1.562608720220000080e+01 2.408867672467377985e-01
1.600000000000000033e-02 1.485301539379999625e+01 2.231412308906953745e-01
3.620000000000000301e-02 1.666587059979999808e+01 1.743427218387236244e-01
1.729999999999999941e-02 1.492873479849999896e+01 2.175865653255908416e-01
3.119999999999999857e-02 1.630580976459999576e+01 1.826966283996817597e-01
2.210000000000000159e-02 1.559054975820000166e+01 1.923150046789359191e-01
1.600000000000000033e-02 1.450360888799999870e+01 2.101124416801473105e-01
2.489999999999999852e-02 1.548270707659999701e+01 1.958354136110746213e-01
3.030000000000000054e-02 1.630726134689999540e+01 1.792753149481033370e-01
2.829999999999999877e-02 1.619926995420000182e+01 1.826056296734758222e-01
1.519999999999999997e-02 1.493736979390000030e+01 2.433312744038526043e-01
3.450000000000000289e-02 1.665724448419999604e+01 2.136789191997160442e-01
3.599999999999999728e-02 1.635825968199999991e+01 1.815183745816076888e-01
2.479999999999999913e-02 1.593517750839999891e+01 1.870270510391554009e-01
2.920000000000000026e-02 1.667156678459999952e+01 1.773755057315214156e-01
1.629999999999999852e-02 1.513225291200000200e+01 2.149944093904106734e-01
1.870000000000000134e-02 1.572729984719999763e+01 1.994657205544620449e-01
1.949999999999999997e-02 1.543591168000000025e+01 1.997913786492080124e-01
2.560000000000000123e-02 1.636372179319999631e+01 1.885754969525067493e-01
3.370000000000000079e-02 1.652269331589999624e+01 1.822239068441177945e-01
5.460000000000000270e-02 1.728855851460000181e+01 1.791844106098166578e-01
2.400000000000000050e-02 1.585518577939999929e+01 1.978009248338271353e-01
3.359999999999999792e-02 1.668439455069999511e+01 1.908925587278862968e-01
3.409999999999999837e-02 1.652090469810000073e+01 1.777720762286953970e-01
2.610000000000000167e-02 1.603941778729999967e+01 1.947935630003703456e-01
2.110000000000000070e-02 1.533971824259999650e+01 1.907670332674569202e-01
3.209999999999999659e-02 1.657499457220000139e+01 1.764146807865309974e-01
2.210000000000000159e-02 1.560112910180000156e+01 1.913807150609962704e-01
3.339999999999999913e-02 1.655894030149999807e+01 1.783144800819817521e-01
